Price,Square Meters,Rooms,Bathrooms,Zona
1.050,,,,Pardo
1.500,,,,Latina
1.700,,,,Retiro
1.200,,,,Latina
1.045,,,,Centro
1.500,,,,Centro
1.500,,,,Moncloa - Aravaca
1.900,,,,Arganzuela
990,68,2,2,Tetuán
1.400,71,1,1,Salamanca
1.165,55,3,1,Carabanchel
1.800,30,1,1,Centro
1.110,390,3,4,Carabanchel
1.206,250,3,4,Barrio de Salamanca
11.000,82,2,2,Retiro
4.500,125,2,2,Centro
1.250,90,3,1,Arganzuela
1.850,82,2,2,Hortaleza
1.500,152,3,3,Chamartín
1.650,70,2,1,Tetuán
2.500,42,1,1,Chamartín
1.650,160,3,2,Barrio de Salamanca
1.050,33,1,1,Pardo
2.700,100,2,2,Moncloa - Aravaca
1.250,50,1,1,Chamberí
2.200,87,3,2,Salamanca
1.500,,1,34,Centro
1.850,65,2,1,Tetuán
800,128,3,2,Tetuán
1.500,50,2,1,Barrio de Salamanca
3.200,228,4,4,Barrio de Salamanca
1.950,105,2,2,Barrio de Salamanca
5.300,298,4,4,Retiro
1.150,60,1,1,Puente de Vallecas
4.500,112,2,2,Chamartín
1.500,,,,Chamartín
1.400,,,,Fuencarral - El Pardo
895,42,1,1,Vicálvaro
3.660,107,3,2,Chamartín
3.375,120,3,2,Chamberí
3.000,135,3,2,Chamberí
2.300,136,2,2,Tetuán
6.180,150,3,3,Chamberí
2.250,107,3,2,Chamberí
1.030,46,2,1,Puente de Vallecas
3.300,100,3,1,Chamberí
3.200,178,2,2,Salamanca
9.250,287,5,4,Chamartín
1.490,77,2,2,Arganzuela
1.325,44,1,1,Arganzuela
3.500,90,1,2,Retiro
3.800,120,3,3,Salamanca
4.500,185,3,3,Barrio de Salamanca
800,2,1,32,Centro
1.100,49,1,1,Lineal
1.400,85,2,2,Hortaleza
1.200,60,1,1,Tetuán
1.500,79,1,1,Barrio de Salamanca
2.000,105,3,2,Tetuán
1.300,88,2,1,Arganzuela
900,50,1,1,Arganzuela
1.700,139,3,2,Blas
2.000,81,3,2,Centro
950,2,1,23,Barrio de Salamanca
1.450,57,1,1,Tetuán
1.275,80,2,2,Villa de Vallecas
1.800,80,2,1,Tetuán
900,48,1,1,Blas
1.700,70,1,1,Barrio de Salamanca
1.100,45,1,1,Tetuán
1.600,95,4,2,Chamartín
210,,10,,Chamberí
900,,1,40,Centro
1.100,60,1,1,Tetuán
1.300,81,2,1,Moncloa - Aravaca
825,51,2,1,Moratalaz
1.495,60,2,1,Centro
1.200,50,2,1,Chamberí
1.800,,1,1,Chamberí
925,60,1,1,Hortaleza
1.600,70,2,1,Tetuán
990,75,2,2,Usera
1.100,4,1,1,Centro
775,1,1,34,Salamanca
800,,1,37,Chamberí
1.100,92,2,2,Usera
1.550,92,3,2,Chamartín
950,80,2,1,Carabanchel
700,112,4,3,Chamberí
1.100,85,3,2,Puente de Vallecas
790,47,2,1,San Blas
1.050,42,1,1,Hortaleza
900,40,1,1,Vallecas
1.500,1,3,1,Retiro
3.500,122,2,2,Centro
1.700,75,3,1,Centro
1.100,52,1,1,Arganzuela
2.500,170,1,2,Tetuán
4.500,92,2,3,Barrio de Salamanca
2.000,100,2,1,Barrio de Salamanca
2.300,156,5,2,Ciudad Lineal
1.750,95,2,1,Barrio de Salamanca
1.700,67,1,1,Arganzuela
1.700,86,2,1,Chamberí
990,78,2,1,Villaverde
1.500,90,3,2,Latina
1.400,65,2,1,Retiro
3.000,152,3,2,Chamberí
2.800,120,4,2,Chamartín
1.300,62,1,1,Barrio de Salamanca
1.200,60,1,1,Chamartín
2.299,145,4,2,Tetuán
2.300,65,2,2,Chamberí
2.600,140,3,2,Chamartín
1.400,37,1,1,Centro
2.100,120,3,2,Tetuán
1.800,59,1,1,Barrio de Salamanca
1.350,60,2,1,San Blas
1.325,90,2,2,Fuencarral - El Pardo
1.050,36,1,1,San Blas
950,38,1,1,Carabanchel
1.900,137,4,2,Barrio de Salamanca
1.350,55,1,1,Chamartín
1.150,82,2,2,Villa de Vallecas
1.290,50,1,1,Centro
1.650,75,2,2,Chamartín
2.000,80,2,2,Tetuán
1.200,60,2,1,Tetuán
1.350,86,2,2,Tetuán
1.799,115,3,2,Hortaleza
2.600,34,1,1,Barrio de Salamanca
3.065,173,4,3,Chamartín
2.800,180,2,2,Ciudad Lineal
2.800,180,2,2,Ciudad Lineal
1.290,47,1,1,Tetuán
2.100,84,3,1,Retiro
4.500,156,4,3,Barrio de Salamanca
3.400,145,2,2,Barrio de Salamanca
950,50,1,1,Tetuán
950,50,1,1,Tetuán
1.250,50,1,1,Ciudad Lineal
1.250,45,1,1,Barrio de Salamanca
1.000,80,2,2,Villaverde
8.000,273,4,4,Barrio de Salamanca
1.875,137,2,2,Hortaleza
3.200,181,4,3,Retiro
1.200,60,1,1,Barajas
2.500,142,2,2,Centro
800,30,1,1,Retiro
9.000,504,6,6,Chamartín
1.800,85,2,1,Centro
1.390,54,1,1,Centro
12.000,320,5,4,Chamartín
20.000,483,4,5,Barrio de Salamanca
4.500,170,3,2,Centro
2.500,132,3,2,Hortaleza
1.500,40,1,1,Barrio de Salamanca
2.400,157,3,2,Barrio de Salamanca
2.475,46,1,1,Chamartín
3.200,1,2,127,Centro
2.935,40,1,1,Chamberí
1.600,68,1,1,Tetuán
3.200,106,2,2,Barrio de Salamanca
975,65,2,1,Ciudad Lineal
1.450,,1,62,Chamberí
1.500,50,3,1,Arganzuela
1.430,16,1,1,Chamartín
1.150,40,1,1,Tetuán
3.900,123,4,2,Centro
1.400,60,1,1,Barrio de Salamanca
2.300,150,4,3,Hortaleza
1.900,110,2,2,Fuencarral - El Pardo
2.735,121,3,2,Chamberí
1.400,118,1,1,Fuencarral - El Pardo
7.500,254,2,3,Chamberí
2.250,80,2,2,Tetuán
8.000,,3,200,Barrio de Salamanca
2.800,125,3,2,Chamartín
1.980,75,2,2,Centro
2.200,60,1,1,Tetuán
1.650,55,1,1,Retiro
1.930,90,3,1,Retiro
1.950,51,2,1,Barrio de Salamanca
1.300,45,1,1,Chamberí
1.600,60,1,1,Centro
2.895,62,2,1,Centro
3.500,85,2,1,Centro
915,5,1,53,Arganzuela
1.200,55,1,1,Barrio de Salamanca
2.600,75,2,2,Chamberí
3.200,196,2,3,Barrio de Salamanca
1.700,45,1,1,Barrio de Salamanca
3.755,139,3,4,Chamberí
1.500,60,1,1,Centro
1.800,60,2,1,Centro
1.800,110,3,1,Centro
3.490,237,5,3,Retiro
3.200,110,3,2,Centro
13.000,432,5,6,Retiro
4.200,166,3,2,Chamberí
1.050,63,3,1,Villaverde
4.500,235,4,4,Chamartín
1.000,64,1,1,Centro
4.500,122,2,3,Barrio de Salamanca
5.500,248,5,4,Chamartín
1.200,49,2,1,San Blas
2.400,150,3,2,Barrio de Salamanca
1.350,15,1,29,Moncloa - Aravaca
2.000,88,1,2,Tetuán
4.550,200,4,3,Barrio de Salamanca
1.100,63,3,1,Vallecas
1.200,75,3,1,Usera
925,55,2,1,Ciudad Lineal
2.500,280,3,2,Tetuán
770,,1,48,Carabanchel
1.015,58,2,1,Vallecas
1.600,93,1,1,Moncloa - Aravaca
1.650,103,2,1,Ciudad Lineal
1.600,31,2,1,Chamberí
3.900,266,5,4,Ciudad Lineal
1.395,40,1,1,Centro
2.200,108,3,2,Hortaleza
1.500,78,3,1,Retiro
3.185,95,2,2,Chamartín
1.300,59,1,1,Centro
3.100,90,2,2,Chamberí
2.570,75,3,1,Retiro
2.400,104,2,2,Tetuán
1.200,50,1,2,Tetuán
2.190,110,4,2,Barrio de Salamanca
1.099,69,2,2,Moratalaz
2.200,144,5,2,Chamberí
2.650,115,4,2,Latina
2.875,120,3,2,Chamberí
1.300,52,2,1,Tetuán
900,71,1,1,San Blas
2.900,130,1,1,Chamartín
1.700,85,3,2,Moncloa - Aravaca
3.600,185,3,2,Retiro
2.000,86,3,1,Chamartín
2.600,116,3,2,Chamartín
1.350,80,2,1,Carabanchel
1.000,57,1,1,Usera
920,,1,27,Barrio de Salamanca
1.060,76,2,1,Villaverde
970,52,2,1,Vicálvaro
1.950,75,2,2,Chamartín
1.300,75,2,1,Latina
2.300,67,2,1,Retiro
960,56,2,1,Carabanchel
2.000,76,2,2,Arganzuela
1.060,65,3,1,Villaverde
4.300,129,2,2,Chamberí
1.600,74,2,2,Barrio de Salamanca
1.350,40,2,1,Arganzuela
3.300,130,3,2,Centro
1.840,93,3,2,Chamartín
2.950,156,4,2,Retiro
3.800,120,2,2,Centro
1.070,64,3,1,Usera
2.600,100,1,2,Centro
1.675,63,1,1,Barrio de Salamanca
4.550,125,3,4,Barrio de Salamanca
895,5,1,52,Arganzuela
3.100,160,5,3,Barrio de Salamanca
2.900,225,2,2,Moncloa - Aravaca
2.800,120,1,2,Tetuán
3.500,170,3,3,Tetuán
2.675,98,2,1,Moncloa - Aravaca
1.450,89,2,1,Fuencarral - El Pardo
1.150,30,1,1,Latina
1.700,100,3,2,Ciudad Lineal
2.500,191,3,2,Hortaleza
1.200,85,2,2,Tetuán
1.950,90,2,2,Centro
1.475,40,1,1,Moncloa - Aravaca
1.800,60,2,1,Centro
2.700,140,3,2,Chamartín
990,42,1,1,Tetuán
1.200,60,1,1,Tetuán
1.300,60,2,1,Fuencarral - El Pardo
3.500,70,1,1,Centro
1.200,55,1,1,Barrio de Salamanca
1.550,45,1,1,Chamberí
1.860,67,1,1,Tetuán
2.900,145,3,2,Chamartín
1.650,41,2,1,Centro
2.400,137,4,2,Fuencarral - El Pardo
2.100,85,1,1,Chamartín
1.500,107,3,1,Centro
1.890,81,2,2,Chamartín
2.325,80,3,2,Chamartín
3.200,107,2,2,Chamberí
1.500,75,2,2,Arganzuela
3.000,97,2,2,Centro
2.400,80,1,1,Tetuán
2.300,50,1,1,Centro
1.390,88,2,2,Puente de Vallecas
1.900,98,1,1,Retiro
1.500,66,1,1,Latina
1.900,149,3,2,Moncloa - Aravaca
1.900,130,3,2,Fuencarral - El Pardo
1.669,67,1,1,Barrio de Salamanca
1.350,57,1,1,Tetuán
2.500,120,3,2,Barrio de Salamanca
1.990,135,3,2,Hortaleza
1.450,58,1,1,Centro
1.100,50,1,1,Ciudad Lineal
1.250,92,2,2,Barajas
1.000,60,1,1,Arganzuela
3.250,125,3,2,Tetuán
1.800,140,3,2,Retiro
1.400,52,1,1,Centro
1.200,75,2,1,Fuencarral - El Pardo
2.300,87,2,2,Barrio de Salamanca
1.700,110,2,2,Chamberí
2.500,130,3,2,Fuencarral - El Pardo
1.050,47,1,1,Tetuán
3.000,157,4,3,Chamartín
2.800,180,2,2,Lineal
2.600,126,1,1,Barrio de Salamanca
2.500,101,3,2,Barrio de Salamanca
1.395,47,2,1,Salamanca
1.445,67,2,1,Tetuán
2.100,87,2,2,Barrio de Salamanca
1.100,40,1,1,Chamberí
1.000,30,1,1,Carabanchel
2.500,105,2,2,Centro
4.500,122,2,3,Barrio de Salamanca
1.800,70,2,1,Tetuán
1.550,93,2,2,Arganzuela
1.550,52,1,1,Chamberí
950,3,1,40,Arganzuela
3.900,114,3,3,Barrio de Salamanca
1.375,81,2,1,Tetuán
1.500,67,2,1,Pardo
1.750,113,3,2,Vicálvaro
2.130,1,1,40,Tetuán
2.000,39,1,1,Centro
4.500,330,6,5,Hortaleza
2.250,110,3,2,Retiro
2.000,65,3,2,Chamartín
2.950,181,3,3,Retiro
2.050,82,1,1,Centro
1.493,40,1,1,Tetuán
2.700,133,3,3,Barrio de Salamanca
1.370,60,2,1,Tetuán
3.015,70,2,1,Chamberí
2.250,40,1,1,Chamberí
2.430,62,1,1,Tetuán
925,51,2,1,Vallecas
3.500,122,2,2,Centro
2.000,35,1,1,Barrio de Salamanca
830,35,1,1,Ciudad Lineal
2.750,140,3,3,Barrio de Salamanca
2.930,65,2,1,Chamberí
3.000,159,3,3,Chamartín
3.500,120,3,2,Barrio de Salamanca
1.200,51,2,1,Centro
2.530,65,3,1,Retiro
1.590,71,1,1,Centro
2.385,67,2,1,Retiro
3.250,91,3,2,Retiro
2.500,65,2,1,Centro
1.100,46,1,1,Barrio de Salamanca
1.600,70,1,1,Centro
1.300,37,2,1,Centro
4.740,133,3,2,Chamberí
2.400,80,4,1,Moncloa - Aravaca
1.300,40,1,1,Centro
1.900,100,3,2,Barrio de Salamanca
1.500,60,2,1,Centro
2.500,95,1,1,Barrio de Salamanca
6.000,110,2,2,Barrio de Salamanca
1.100,50,1,1,Hortaleza
1.800,85,2,2,Centro
2.750,160,5,2,Centro
3.900,270,5,2,Retiro
2.950,65,2,1,Chamartín
1.950,95,2,2,Fuencarral - El Pardo
2.395,95,2,2,Retiro
2.070,109,3,2,Barrio de Salamanca
2.300,104,3,2,Barrio de Salamanca
5.000,119,1,2,Fuencarral - El Pardo
900,,1,27,Puente de Vallecas
1.800,90,3,2,Arganzuela
3.100,460,5,5,Fuencarral - El Pardo
900,57,1,1,Villa de Vallecas
1.850,120,2,2,Fuencarral - El Pardo
2.700,177,4,3,Chamartín
1.200,79,3,1,Hortaleza
2.000,57,1,1,Centro
3.000,114,2,2,Retiro
1.200,90,3,1,Usera
890,67,2,1,Usera
800,41,1,1,Barrio de Salamanca
1.390,128,3,2,Hortaleza
990,84,3,1,Usera
1.700,75,2,1,Ciudad Lineal
1.300,50,1,1,Barrio de Salamanca
3.300,85,2,2,Centro
4.500,120,2,3,Barrio de Salamanca
2.100,104,3,2,Tetuán
1.050,42,1,1,Puente de Vallecas
5.000,240,4,3,Chamberí
5.200,126,2,2,Salamanca
4.000,15,2,149,Salamanca
2.300,65,1,1,Centro
2.200,124,3,2,Hortaleza
1.500,120,3,2,Usera
1.900,60,2,1,Retiro
2.100,101,2,2,Chamartín
1.000,49,1,1,Centro
1.300,93,3,1,Barajas
1.250,90,1,1,Hortaleza
